time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-27 00:00:00+00:00,41,20,23,3
2025-09-28 00:00:00+00:00,3,3,0,0
2025-09-29 00:00:00+00:00,1,1,0,0
2025-09-30 00:00:00+00:00,4,4,6,1
2025-10-01 00:00:00+00:00,2,2,0,0
2025-10-02 00:00:00+00:00,2,2,0,0
2025-10-03 00:00:00+00:00,2,2,0,0
2025-10-04 00:00:00+00:00,2,2,0,0
2025-10-05 00:00:00+00:00,8,8,0,0
2025-10-06 00:00:00+00:00,3,3,0,0
2025-10-07 00:00:00+00:00,8,8,0,0
2025-10-08 00:00:00+00:00,5,5,0,0
2025-10-09 00:00:00+00:00,5,5,0,0
2025-10-10 00:00:00+00:00,2,2,0,0
2025-10-11 00:00:00+00:00,4,4,0,0
2025-10-12 00:00:00+00:00,6,6,0,0
2025-10-13 00:00:00+00:00,2,2,0,0
2025-10-14 00:00:00+00:00,1,1,0,0
2025-10-15 00:00:00+00:00,1,1,0,0
2025-10-16 00:00:00+00:00,4,3,0,0
2025-10-17 00:00:00+00:00,11,4,0,0
2025-10-18 00:00:00+00:00,2,2,0,0
2025-10-19 00:00:00+00:00,3,3,0,0
2025-10-20 00:00:00+00:00,1,1,0,0
2025-10-21 00:00:00+00:00,2,2,0,0
2025-10-22 00:00:00+00:00,5,5,0,0
2025-10-23 00:00:00+00:00,3,3,0,0
2025-10-24 00:00:00+00:00,1,1,0,0
